Geography,state,federal_public_employment_yoy_percent_change,leisure_and_hospitality_employment_yoy_percent_change,manufacturing_employment_yoy_percent_change,private_employment_yoy_percent_change,public_employment_yoy_percent_change,retail_trade_employment_yoy_percent_change,state_and_local_public_education_employment_yoy_percent_change,state_and_local_public_employment_yoy_percent_change,total_employment_yoy_percent_change,unemployment_rate_raw
2020-02-01,Nevada,3.09278350515465,0.0553250345781435,-0.501672240802671,2.46982655263369,1.94647201946471,0.336473755047106,2.25846925972396,1.79310344827586,2.40904274108088,4.0
2020-03-01,Nevada,5.18134715025907,-1.60486995019368,-0.333889816360594,1.26713420465414,2.06686930091186,0.0672494956287981,2.10918114143923,1.65289256198348,1.35982526597618,8.0
2020-04-01,Nevada,4.66321243523315,-51.0549694614103,-11.2984822934233,-23.5612944364738,-4.25790754257908,-18.9098250336474,-4.20382165605095,-5.4445210199862,-21.3248766737139,28.5
2020-05-01,Nevada,4.12371134020619,-57.5070028011204,-9.81387478849408,-24.3146318138349,-5.76106731352335,-16.0485502360081,-7.57575757575758,-7.07903780068727,-22.1596111854617,23.4
2020-06-01,Nevada,4.10256410256411,-39.484857061987,-7.6271186440678,-16.7679028132992,-6.98101653398653,-7.95148247978437,-11.2535612535613,-8.48400556328235,-15.638034641216,18.5
2020-07-01,Nevada,4.08163265306121,-33.493907622556,-7.7834179357022,-14.0059157406667,-6.55737704918032,-6.20782726045883,-11.7910447761194,-7.99448656099242,-13.1393048883866,16.8
2020-08-01,Nevada,16.1616161616162,-33.3143345682531,-6.58783783783785,-13.4227116750459,-5.38922155688623,-4.58839406207826,-11.4084507042253,-8.28804347826086,-12.477994507429,14.7
2020-09-01,Nevada,12.6262626262626,-31.1717861205916,-5.58375634517767,-12.1605479015688,-4.8048048048048,-3.37609723160027,-8.16831683168318,-7.15746421267894,-11.2993953030516,13.6
2020-10-01,Nevada,8.12182741116752,-28.2436260623229,-4.41426146010187,-10.760549948343,-4.14414414414415,-2.56237356709374,-5.80964153275649,-5.79019073569484,-9.98736664795059,12.1
2020-11-01,Nevada,3.51758793969851,-27.5239706711788,-3.38983050847458,-10.9020780856423,-5.98086124401914,-2.22371967654987,-8.48484848484848,-7.26408689748811,-10.3297161936561,11.2
2020-12-01,Nevada,5.0761421319797,-29.2144254962259,-2.7027027027027,-11.1407082419304,-6.28366247755835,-2.08473436449226,-9.55259975816204,-7.80189959294437,-10.5784551437478,10.8
2021-01-01,Nevada,1.50753768844221,-29.0924276169265,-1.35593220338983,-11.1224170319349,-5.59230306674685,-1.47651006711409,-7.34908136482941,-6.55737704918032,-10.4854906849505,10.2
2021-02-01,Nevada,2.5,-27.8131047829693,-1.1764705882353,-10.2964118564743,-6.08591885441527,-1.07310529845741,-8.34355828220859,-7.24932249322493,-9.80960264900661,9.8
2021-03-01,Nevada,1.47783251231527,-25.2530933633296,-0.67001675041877,-8.55434012748879,-6.01548540798094,-0.268817204301079,-8.74848116646418,-7.04607046070459,-8.25802863895454,9.2
2021-04-01,Nevada,3.46534653465346,57.4588769143505,14.2585551330798,23.0135557872784,0.825921219822098,23.0705394190871,-0.531914893617029,0.437317784256535,19.88534575421,8.6
2021-05-01,Nevada,3.46534653465346,88.5959129861569,12.7579737335835,25.4606717910919,2.18790218790219,19.5180722891566,1.63934426229509,1.99704142011833,22.188037281694,7.8
2021-06-01,Nevada,2.46305418719212,37.932647333957,11.0091743119266,15.5367774150182,4.67412771560237,9.00439238653002,8.82825040128411,5.01519756838905,14.1540266487891,7.2
2021-07-01,Nevada,1.9607843137255,30.2513847464849,11.9266055045872,13.7863716649623,3.57374918778428,7.48201438848921,6.93739424703892,3.82022471910112,12.5081327260898,6.6
2021-08-01,Nevada,-9.56521739130435,32.0940170940171,11.2115732368897,13.5404184717485,0.696202531645566,5.86987270155586,3.65659777424483,2.44444444444443,11.9076353688953,6.0
2021-09-01,Nevada,-6.72645739910314,28.6776859504132,10.752688172043,12.0398912058024,1.38801261829652,5.10132774283719,3.90835579514826,2.7165932452276,10.7015457788347,5.6
2021-10-01,Nevada,-3.75586854460094,25.740228977497,10.8348134991119,11.8799536913349,0.250626566416044,4.5674740484429,1.83727034120734,0.867678958785262,10.4327485380117,5.4
2021-11-01,Nevada,1.94174757281553,25.2529182879377,9.47368421052631,11.1935683364255,1.97201017811706,3.79048931771192,2.51655629139074,1.9765739385066,10.069040415794,5.3
