iter	Passed	Remaining
758	38500	22370
759	38548	22317
760	38608	22272
761	38660	22222
762	38711	22171
763	38759	22119
764	38811	22069
765	38859	22016
766	38908	21965
767	38957	21913
768	39005	21861
769	39054	21809
770	39104	21758
771	39154	21707
772	39209	21659
773	39258	21607
774	39306	21554
775	39356	21503
776	39405	21452
777	39455	21401
778	39505	21350
779	39554	21298
780	39603	21246
781	39650	21194
782	39699	21142
783	39749	21091
784	39800	21040
785	39849	20989
786	39899	20938
787	39947	20886
788	39996	20834
789	40049	20785
790	40098	20733
791	40147	20681
792	40195	20629
793	40248	20580
794	40304	20532
795	40357	20483
796	40407	20431
797	40461	20382
798	40517	20334
799	40569	20284
800	40617	20232
801	40668	20182
802	40718	20130
803	40768	20079
804	40822	20030
805	40875	19981
806	40922	19928
807	40973	19878
808	41023	19826
809	41075	19777
810	41122	19724
811	41174	19674
812	41223	19623
813	41273	19571
814	41324	19521
815	41373	19470
816	41425	19419
817	41473	19367
818	41528	19319
819	41580	19269
820	41632	19219
821	41682	19167
822	41735	19118
823	41787	19068
824	41840	19018
825	41893	18968
826	41945	18918
827	41994	18866
828	42042	18815
829	42095	18765
830	42146	18714
831	42195	18663
832	42252	18615
833	42307	18566
834	42358	18515
835	42415	18467
836	42463	18416
837	42512	18364
838	42559	18312
839	42610	18261
840	42661	18211
841	42711	18159
842	42760	18108
843	42811	18057
844	42863	18007
845	42915	17957
846	42961	17904
847	43012	17854
848	43061	17802
849	43111	17751
850	43161	17700
851	43207	17648
852	43260	17598
853	43306	17545
854	43356	17494
855	43409	17445
856	43460	17394
857	43510	17343
858	43561	17292
859	43615	17243
860	43666	17192
861	43715	17141
862	43766	17090
863	43818	17040
864	43869	16990
865	43918	16938
866	43967	16887
867	44019	16836
868	44069	16786
869	44121	16735
870	44172	16685
871	44221	16633
872	44269	16581
873	44328	16534
874	44377	16482
875	44430	16433
876	44484	16383
877	44531	16331
878	44584	16281
879	44637	16231
880	44688	16181
881	44738	16130
882	44791	16080
883	44841	16029
884	44891	15978
885	44939	15926
886	44988	15875
887	45041	15825
888	45093	15775
889	45141	15723
890	45194	15673
891	45242	15621
892	45290	15570
893	45342	15520
894	45392	15469
895	45440	15417
896	45491	15366
897	45542	15316
898	45591	15264
899	45641	15213
900	45692	15163
901	45742	15112
902	45796	15062
903	45847	15011
904	45897	14961
905	45948	14910
906	45997	14859
907	46045	14807
908	46098	14757
909	46147	14706
910	46196	14655
911	46246	14604
912	46297	14553
913	46349	14503
914	46401	14452
915	46455	14403
916	46505	14352
917	46555	14301
918	46609	14251
919	46660	14201
920	46713	14151
921	46763	14100
922	46817	14050
923	46866	13999
924	46920	13949
925	46968	13897
926	47019	13847
927	47071	13796
928	47121	13745
929	47173	13695
930	47227	13645
931	47279	13595
932	47331	13544
933	47380	13493
934	47433	13443
935	47486	13393
936	47541	13344
937	47592	13293
938	47642	13242
939	47693	13191
940	47744	13141
941	47793	13089
942	47842	13038
943	47892	12987
944	47945	12937
945	47993	12886
946	48041	12834
947	48094	12784
948	48146	12734
949	48197	12683
950	48251	12633
951	48305	12583
952	48359	12533
953	48412	12483
954	48465	12433
955	48517	12383
956	48567	12332
957	48619	12281
958	48669	12230
959	48720	12180
960	48770	12129
961	48818	12077
962	48867	12026
963	48920	11976
964	48972	11925
965	49033	11877
966	49080	11826
967	49125	11773
968	49172	11722
969	49217	11670
970	49264	11618
971	49315	11567
972	49361	11515
973	49410	11464
974	49457	11413
975	49502	11361
976	49553	11310
977	49599	11258
978	49649	11208
979	49699	11156
980	49747	11105
981	49793	11053
982	49840	11002
983	49885	10950
984	49935	10899
985	49981	10847
986	50030	10796
987	50080	10745
988	50131	10695
989	50179	10644
990	50225	10592
991	50276	10541
992	50326	10491
993	50373	10439
994	50423	10388
995	50475	10338
996	50523	10287
997	50572	10236
998	50622	10185
999	50669	10133
1000	50716	10082
1001	50763	10031
1002	50808	9979
1003	50854	9927
1004	50902	9876
1005	50948	9825
1006	50992	9773
1007	51039	9721
1008	51086	9670
1009	51131	9618
1010	51176	9567
1011	51226	9516
1012	51273	9465
1013	51323	9414
1014	51372	9363
1015	51421	9312
1016	51469	9261
1017	51515	9209
1018	51565	9159
1019	51612	9108
1020	51661	9057
1021	51710	9006
1022	51761	8955
1023	51807	8904
1024	51855	8853
1025	51905	8802
1026	51954	8751
1027	52004	8701
1028	52055	8650
1029	52100	8599
1030	52147	8547
1031	52194	8496
1032	52242	8445
1033	52291	8394
1034	52338	8343
1035	52389	8293
1036	52443	8243
1037	52491	8192
1038	52543	8141
1039	52592	8091
1040	52640	8040
1041	52689	7989
1042	52738	7938
1043	52788	7887
